T | (244.682) X1 09:52:02.651
T | (244.682) X1 09:52:03.280
R | (244.682) X2 09:52:02.662
R | (244.682) X2 09:52:03.293
T | (245.030) .1 09:52:09.575
R | (245.045) .2 09:52:09.590
T | (245.659) X1 09:52:10.204
R | (245.670) X2 09:52:10.215
T | (246.291) X1 09:52:10.836
R | (246.304) X2 09:52:10.849
T | (246.921) X1 09:52:11.466
R | (246.932) X2 09:52:11.477
T | (247.549) X1 09:52:12.094
R | (247.564) X2 09:52:12.109
T | (248.180) X1 09:52:12.726
R | (248.192) X2 09:52:12.737
T | (248.810) X1 09:52:13.355
R | (248.822) X2 09:52:13.367
T | (249.441) X1 09:52:13.986
R | (249.452) X2 09:52:13.997
T | (250.066) X1 09:52:14.611
R | (250.081) X2 09:52:14.626
T | (250.698) X1 09:52:15.243
R | (250.709) X2 09:52:15.254
T | (251.329) X1 09:52:15.874
R | (251.341) X2 09:52:15.886
T | (251.956) X1 09:52:16.501
R | (251.967) X2 09:52:16.512
T | (252.587) X1 09:52:17.132
R | (252.600) X2 09:52:17.145
T | (253.212) X1 09:52:17.757
R | (253.223) X2 09:52:17.768
T | (253.838) X1 09:52:18.384
R | (253.850) X2 09:52:18.395
T | (254.467) X1 09:52:19.013
R | (254.481) X2 09:52:19.027
T | (255.097) X1 09:52:19.642
R | (255.108) X2 09:52:19.653
T | (255.727) X1 09:52:20.272
R | (255.740) X2 09:52:20.286
T | (256.354) X1 09:52:20.900
R | (256.366) X2 09:52:20.911
T | (256.983) X1 09:52:21.528
R | (256.999) X2 09:52:21.545
T | (257.614) X1 09:52:22.159
R | (257.625) X2 09:52:22.171
T | (258.244) X1 09:52:22.789
R | (258.259) X2 09:52:22.804
T | (258.875) X1 09:52:23.420
R | (258.886) X2 09:52:23.431
T | (259.502) X1 09:52:24.047
R | (259.518) X2 09:52:24.064
T | (260.136) X1 09:52:24.681
R | (260.147) X2 09:52:24.693
T | (260.768) X1 09:52:25.313
R | (260.779) X2 09:52:25.324
T | (261.393) X1 09:52:25.939
R | (261.405) X2 09:52:25.950
T | (262.026) X1 09:52:26.571
R | (262.037) X2 09:52:26.582
T | (262.649) X1 09:52:27.194
R | (262.660) X2 09:52:27.205
T | (263.275) X1 09:52:27.820
R | (263.286) X2 09:52:27.831
T | (263.904) X1 09:52:28.450
R | (263.917) X2 09:52:28.463
T | (264.533) X1 09:52:29.078
R | (264.544) X2 09:52:29.090
T | (265.160) X1 09:52:29.705
R | (265.176) X2 09:52:29.721
T | (265.796) X1 09:52:30.341
R | (265.813) X2 09:52:30.359
T | (266.433) X1 09:52:30.978
R | (266.451) X2 09:52:30.996
T | (267.067) X1 09:52:31.612
R | (267.078) X2 09:52:31.623
T | (267.697) X1 09:52:32.242
R | (267.710) X2 09:52:32.256
T | (268.323) X1 09:52:32.869
R | (268.334) X2 09:52:32.880
T | (268.951) X1 09:52:33.496
R | (268.962) X2 09:52:33.507
T | (269.583) X1 09:52:34.128
R | (269.593) X2 09:52:34.139
T | (270.210) X1 09:52:34.755
R | (270.220) X2 09:52:34.766
T | (270.837) X1 09:52:35.382
R | (270.851) X2 09:52:35.396
T | (271.467) X1 09:52:36.012
R | (271.478) X2 09:52:36.023
T | (272.092) X1 09:52:36.638
R | (272.110) X2 09:52:36.655
T | (272.727) X1 09:52:37.272
R | (272.738) X2 09:52:37.283
T | (273.357) X1 09:52:37.902
R | (273.369) X2 09:52:37.914
T | (273.984) X1 09:52:38.529
R | (273.995) X2 09:52:38.540
T | (274.609) X1 09:52:39.155
R | (274.621) X2 09:52:39.167
T | (275.240) X1 09:52:39.785
R | (275.251) X2 09:52:39.797
T | (275.869) X1 09:52:40.414
R | (275.881) X2 09:52:40.426
T | (276.497) X1 09:52:41.042
R | (276.509) X2 09:52:41.054
T | (277.126) X1 09:52:41.671
R | (277.137) X2 09:52:41.682
T | (277.751) X1 09:52:42.296
R | (277.768) X2 09:52:42.313
T | (278.391) X1 09:52:42.936
R | (278.406) X2 09:52:42.951
T | (279.019) X1 09:52:43.564
R | (279.030) X2 09:52:43.575
T | (279.649) X1 09:52:44.193
R | (279.665) X2 09:52:44.210
T | (280.282) X1 09:52:44.827
R | (280.293) X2 09:52:44.837
T | (280.911) X1 09:52:45.455
R | (280.925) X2 09:52:45.469
T | (281.540) X1 09:52:46.084
R | (281.551) X2 09:52:46.095
T | (282.169) X1 09:52:46.713
R | (282.184) X2 09:52:46.728
T | (282.798) X1 09:52:47.342
R | (282.809) X2 09:52:47.353
T | (283.425) X1 09:52:47.968
R | (283.442) X2 09:52:47.986
T | (284.060) X1 09:52:48.603
R | (284.071) X2 09:52:48.615
T | (284.690) X1 09:52:49.233
R | (284.702) X2 09:52:49.246
T | (285.318) X1 09:52:49.861
R | (285.329) X2 09:52:49.872
T | (285.945) X1 09:52:50.488
R | (285.961) X2 09:52:50.504
T | (286.578) X1 09:52:51.121
R | (286.590) X2 09:52:51.133
T | (287.208) X1 09:52:51.751
R | (287.221) X2 09:52:51.764
T | (287.840) X1 09:52:52.382
R | (287.858) X2 09:52:52.400
T | (288.473) X1 09:52:53.016
R | (288.484) X2 09:52:53.027
T | (289.100) X1 09:52:53.643
R | (289.117) X2 09:52:53.660
T | (289.736) X1 09:52:54.279
R | (289.747) X2 09:52:54.290
T | (290.366) X1 09:52:54.909
R | (290.377) X2 09:52:54.919
T | (290.992) X1 09:52:55.534
R | (291.003) X2 09:52:55.546
T | (291.620) X1 09:52:56.162
R | (291.636) X2 09:52:56.178
T | (292.251) X1 09:52:56.793
R | (292.262) X2 09:52:56.804
T | (292.881) X1 09:52:57.423
R | (292.895) X2 09:52:57.437
T | (293.510) X1 09:52:58.052
R | (293.522) X2 09:52:58.064
T | (294.138) X1 09:52:58.680
R | (294.154) X2 09:52:58.696
T | (294.775) X1 09:52:59.317
R | (294.791) X2 09:52:59.333
T | (295.410) X1 09:52:59.952
R | (295.421) X2 09:52:59.963
T | (296.041) X1 09:53:00.583
R | (296.052) X2 09:53:00.594
T | (296.668) X1 09:53:01.210
R | (296.679) X2 09:53:01.221
T | (297.294) X1 09:53:01.837
R | (297.310) X2 09:53:01.852
T | (297.926) X1 09:53:02.468
R | (297.937) X2 09:53:02.479
T | (298.555) X1 09:53:03.097
R | (298.569) X2 09:53:03.111
T | (299.186) X1 09:53:03.728
R | (299.197) X2 09:53:03.739
T | (299.814) X1 09:53:04.356
R | (299.829) X2 09:53:04.371
T | (300.440) X1 09:53:04.983
R | (300.452) X2 09:53:04.994
T | (301.067) X1 09:53:05.610
R | (301.078) X2 09:53:05.621
T | (301.697) X1 09:53:06.239
